Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,symmetric,0.31,0.40319662626160946
75% Corpus,5,symmetric,0.61,0.4615960836576435
75% Corpus,5,symmetric,0.9099999999999999,0.4852984055833643
75% Corpus,5,symmetric,symmetric,0.42347288474035444
75% Corpus,5,asymmetric,0.01,0.4685084203147486
75% Corpus,5,asymmetric,0.31,0.45877048847658886
75% Corpus,5,asymmetric,0.61,0.5072910355482239
75% Corpus,5,asymmetric,0.9099999999999999,0.5167029623591066
75% Corpus,5,asymmetric,symmetric,0.4491316546128873
75% Corpus,6,0.01,0.01,0.46629098056617213
75% Corpus,6,0.01,0.31,0.48593134327440013
75% Corpus,6,0.01,0.61,0.49767380394642363
75% Corpus,6,0.01,0.9099999999999999,0.5216352800841966
75% Corpus,6,0.01,symmetric,0.44784378351001325
75% Corpus,6,0.31,0.01,0.4762474101230638
75% Corpus,6,0.31,0.31,0.47013944216881914
75% Corpus,6,0.31,0.61,0.49484351212230143
75% Corpus,6,0.31,0.9099999999999999,0.5152279533551535
75% Corpus,6,0.31,symmetric,0.44582693011213587
75% Corpus,6,0.61,0.01,0.45425196644865995
75% Corpus,6,0.61,0.31,0.4604556053705126
75% Corpus,6,0.61,0.61,0.503171517561727
75% Corpus,6,0.61,0.9099999999999999,0.5123173166637282
75% Corpus,6,0.61,symmetric,0.46455521033079955
75% Corpus,6,0.9099999999999999,0.01,0.45208050937249505
75% Corpus,6,0.9099999999999999,0.31,0.47585217785926065
75% Corpus,6,0.9099999999999999,0.61,0.4734593143869666
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.49338630060638433
75% Corpus,6,0.9099999999999999,symmetric,0.45473488449126925
75% Corpus,6,symmetric,0.01,0.46836014385055535
75% Corpus,6,symmetric,0.31,0.48349299842991716
75% Corpus,6,symmetric,0.61,0.5010712155788473
75% Corpus,6,symmetric,0.9099999999999999,0.5086122847857458
75% Corpus,6,symmetric,symmetric,0.4612751854039235
75% Corpus,6,asymmetric,0.01,0.4751090043374256
75% Corpus,6,asymmetric,0.31,0.49447499541128753
75% Corpus,6,asymmetric,0.61,0.517520304529848
75% Corpus,6,asymmetric,0.9099999999999999,0.5137181824548177
75% Corpus,6,asymmetric,symmetric,0.46289477454729466
75% Corpus,7,0.01,0.01,0.4702324629461399
75% Corpus,7,0.01,0.31,0.4697987257730783
75% Corpus,7,0.01,0.61,0.5090088387034488
75% Corpus,7,0.01,0.9099999999999999,0.454323119730015
75% Corpus,7,0.01,symmetric,0.462803218000793
75% Corpus,7,0.31,0.01,0.4732427025630358
75% Corpus,7,0.31,0.31,0.4681715391967029
75% Corpus,7,0.31,0.61,0.4885793664446993
75% Corpus,7,0.31,0.9099999999999999,0.4838943835517866
75% Corpus,7,0.31,symmetric,0.46659209464489243
75% Corpus,7,0.61,0.01,0.4820477462120834
75% Corpus,7,0.61,0.31,0.4570997940716087
75% Corpus,7,0.61,0.61,0.49702233215816155
75% Corpus,7,0.61,0.9099999999999999,0.5073685309888035
75% Corpus,7,0.61,symmetric,0.4637836830312277
75% Corpus,7,0.9099999999999999,0.01,0.46358187704809406
75% Corpus,7,0.9099999999999999,0.31,0.4677351765578526
75% Corpus,7,0.9099999999999999,0.61,0.4806743245627492
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4904558528656359
75% Corpus,7,0.9099999999999999,symmetric,0.45853096499433127
75% Corpus,7,symmetric,0.01,0.4709800872242032
75% Corpus,7,symmetric,0.31,0.47967670078973923
75% Corpus,7,symmetric,0.61,0.5021984523308014
75% Corpus,7,symmetric,0.9099999999999999,0.47683242826106315
75% Corpus,7,symmetric,symmetric,0.4600436474257278
75% Corpus,7,asymmetric,0.01,0.48715726477782917
75% Corpus,7,asymmetric,0.31,0.4801987803150237
75% Corpus,7,asymmetric,0.61,0.48486097444302745
75% Corpus,7,asymmetric,0.9099999999999999,0.54607758723526
75% Corpus,7,asymmetric,symmetric,0.461211751103671
75% Corpus,8,0.01,0.01,0.4641648757417621
75% Corpus,8,0.01,0.31,0.4624406155467361
75% Corpus,8,0.01,0.61,0.4881429981647451
75% Corpus,8,0.01,0.9099999999999999,0.5370252014616288
75% Corpus,8,0.01,symmetric,0.4413275618834921
75% Corpus,8,0.31,0.01,0.4707398101704747
75% Corpus,8,0.31,0.31,0.43366032781186536
75% Corpus,8,0.31,0.61,0.45904664904769277
75% Corpus,8,0.31,0.9099999999999999,0.45817551288798
75% Corpus,8,0.31,symmetric,0.4558104476300235
75% Corpus,8,0.61,0.01,0.480729837961825
75% Corpus,8,0.61,0.31,0.4689001385711194
75% Corpus,8,0.61,0.61,0.4677488654335223
75% Corpus,8,0.61,0.9099999999999999,0.47075800403980783
75% Corpus,8,0.61,symmetric,0.46733021377469236
75% Corpus,8,0.9099999999999999,0.01,0.4790673103354441
75% Corpus,8,0.9099999999999999,0.31,0.4755519214451004
75% Corpus,8,0.9099999999999999,0.61,0.47767734823998936
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.45537337378221066
75% Corpus,8,0.9099999999999999,symmetric,0.46351659561045844
75% Corpus,8,symmetric,0.01,0.4758117746985024
75% Corpus,8,symmetric,0.31,0.4519569676011094
75% Corpus,8,symmetric,0.61,0.443743337912604
75% Corpus,8,symmetric,0.9099999999999999,0.5100828155904371
75% Corpus,8,symmetric,symmetric,0.4292247454174795
75% Corpus,8,asymmetric,0.01,0.4554888134936615
75% Corpus,8,asymmetric,0.31,0.45848990010458524
75% Corpus,8,asymmetric,0.61,0.45751515700549017
75% Corpus,8,asymmetric,0.9099999999999999,0.44338554915726075
75% Corpus,8,asymmetric,symmetric,0.45917180228528304
75% Corpus,9,0.01,0.01,0.45242797183337924
75% Corpus,9,0.01,0.31,0.4650980941828931
75% Corpus,9,0.01,0.61,0.4956431793648109
75% Corpus,9,0.01,0.9099999999999999,0.5186811835833779
75% Corpus,9,0.01,symmetric,0.4414778376415838
75% Corpus,9,0.31,0.01,0.47097978873739216
75% Corpus,9,0.31,0.31,0.45391622089141376
75% Corpus,9,0.31,0.61,0.4623040476725168
75% Corpus,9,0.31,0.9099999999999999,0.5243773169422716
75% Corpus,9,0.31,symmetric,0.4626183890004827
75% Corpus,9,0.61,0.01,0.4938468629876041
75% Corpus,9,0.61,0.31,0.4796276389805205
75% Corpus,9,0.61,0.61,0.4514118448564661
75% Corpus,9,0.61,0.9099999999999999,0.4668660579385071
75% Corpus,9,0.61,symmetric,0.4610202308514794
75% Corpus,9,0.9099999999999999,0.01,0.5004922819319764
75% Corpus,9,0.9099999999999999,0.31,0.4613819952322032
75% Corpus,9,0.9099999999999999,0.61,0.49117357163364805
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.48617047223195736
75% Corpus,9,0.9099999999999999,symmetric,0.46774600660802723
75% Corpus,9,symmetric,0.01,0.4586500814251331
75% Corpus,9,symmetric,0.31,0.47510639164411483
75% Corpus,9,symmetric,0.61,0.43705192183002667
75% Corpus,9,symmetric,0.9099999999999999,0.43050889904812534
75% Corpus,9,symmetric,symmetric,0.4477561709248724
75% Corpus,9,asymmetric,0.01,0.462274214752873
75% Corpus,9,asymmetric,0.31,0.4705538331746906
75% Corpus,9,asymmetric,0.61,0.4989201834396115
75% Corpus,9,asymmetric,0.9099999999999999,0.6253193637382645
75% Corpus,9,asymmetric,symmetric,0.46226724471039454
75% Corpus,10,0.01,0.01,0.460902908304439
75% Corpus,10,0.01,0.31,0.4774993356498395
75% Corpus,10,0.01,0.61,0.4384197639549927
75% Corpus,10,0.01,0.9099999999999999,0.5827863984701113
75% Corpus,10,0.01,symmetric,0.45843458527333736
75% Corpus,10,0.31,0.01,0.45262177747368026
75% Corpus,10,0.31,0.31,0.4621467217738949
75% Corpus,10,0.31,0.61,0.4733611061352767
75% Corpus,10,0.31,0.9099999999999999,0.46774779534140787
75% Corpus,10,0.31,symmetric,0.42989914425117914
75% Corpus,10,0.61,0.01,0.4705684444616264
75% Corpus,10,0.61,0.31,0.45348092577553967
75% Corpus,10,0.61,0.61,0.475777908796998
75% Corpus,10,0.61,0.9099999999999999,0.5279002275812275
75% Corpus,10,0.61,symmetric,0.4514945441548856
75% Corpus,10,0.9099999999999999,0.01,0.47457234604177784
75% Corpus,10,0.9099999999999999,0.31,0.46727453286692544
75% Corpus,10,0.9099999999999999,0.61,0.4750563219085385
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.4836376149676676
75% Corpus,10,0.9099999999999999,symmetric,0.46631504933131007
75% Corpus,10,symmetric,0.01,0.4522299725200746
75% Corpus,10,symmetric,0.31,0.462284461099894
75% Corpus,10,symmetric,0.61,0.4666381492534266
75% Corpus,10,symmetric,0.9099999999999999,0.4846413020302234
75% Corpus,10,symmetric,symmetric,0.4389764041033392
75% Corpus,10,asymmetric,0.01,0.46908894752650915
75% Corpus,10,asymmetric,0.31,0.4815718034089585
75% Corpus,10,asymmetric,0.61,0.4610702326222458
75% Corpus,10,asymmetric,0.9099999999999999,0.5190442108256745
75% Corpus,10,asymmetric,symmetric,0.4646248344840358
100% Corpus,2,0.01,0.01,0.38802065782696527
100% Corpus,2,0.01,0.31,0.38802065782696527
100% Corpus,2,0.01,0.61,0.3911794929908699
100% Corpus,2,0.01,0.9099999999999999,0.3911794929908699
100% Corpus,2,0.01,symmetric,0.3911794929908699
100% Corpus,2,0.31,0.01,0.38802065782696527
100% Corpus,2,0.31,0.31,0.39185556677676897
100% Corpus,2,0.31,0.61,0.3911794929908699
100% Corpus,2,0.31,0.9099999999999999,0.3911794929908699
100% Corpus,2,0.31,symmetric,0.3911794929908699
100% Corpus,2,0.61,0.01,0.3858620932969289
100% Corpus,2,0.61,0.31,0.38802065782696527
100% Corpus,2,0.61,0.61,0.3911794929908699
100% Corpus,2,0.61,0.9099999999999999,0.396574666073361
100% Corpus,2,0.61,symmetric,0.3918555667767689
100% Corpus,2,0.9099999999999999,0.01,0.3858620932969289
100% Corpus,2,0.9099999999999999,0.31,0.38802065782696527
100% Corpus,2,0.9099999999999999,0.61,0.39679720738626656
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.396574666073361
100% Corpus,2,0.9099999999999999,symmetric,0.38802065782696527
100% Corpus,2,symmetric,0.01,0.38802065782696527
100% Corpus,2,symmetric,0.31,0.38802065782696527
100% Corpus,2,symmetric,0.61,0.3911794929908699
100% Corpus,2,symmetric,0.9099999999999999,0.396574666073361
100% Corpus,2,symmetric,symmetric,0.38802065782696527
100% Corpus,2,asymmetric,0.01,0.38801135222442873
100% Corpus,2,asymmetric,0.31,0.3918555667767689
100% Corpus,2,asymmetric,0.61,0.3878225111614041
100% Corpus,2,asymmetric,0.9099999999999999,0.3918555667767689
100% Corpus,2,asymmetric,symmetric,0.38802065782696527
100% Corpus,3,0.01,0.01,0.4236374592342897
100% Corpus,3,0.01,0.31,0.4265763200747477
100% Corpus,3,0.01,0.61,0.4144947230812024
100% Corpus,3,0.01,0.9099999999999999,0.41646427640082573
100% Corpus,3,0.01,symmetric,0.4235796796036068
100% Corpus,3,0.31,0.01,0.43527677161735595
100% Corpus,3,0.31,0.31,0.42114924343168636
100% Corpus,3,0.31,0.61,0.41397994679573763
100% Corpus,3,0.31,0.9099999999999999,0.4202048191662668
100% Corpus,3,0.31,symmetric,0.41397994679573763
100% Corpus,3,0.61,0.01,0.42634675644507564
100% Corpus,3,0.61,0.31,0.4327278615251107
100% Corpus,3,0.61,0.61,0.41397994679573763
100% Corpus,3,0.61,0.9099999999999999,0.41397994679573763
100% Corpus,3,0.61,symmetric,0.4242160208444408
100% Corpus,3,0.9099999999999999,0.01,0.42634675644507564
100% Corpus,3,0.9099999999999999,0.31,0.43387353328299283
100% Corpus,3,0.9099999999999999,0.61,0.43387353328299283
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.42421602084444093
100% Corpus,3,0.9099999999999999,symmetric,0.43387353328299283
100% Corpus,3,symmetric,0.01,0.43387353328299283
100% Corpus,3,symmetric,0.31,0.4236374592342896
100% Corpus,3,symmetric,0.61,0.42020481916626684
100% Corpus,3,symmetric,0.9099999999999999,0.41397994679573763
100% Corpus,3,symmetric,symmetric,0.4236374592342896
100% Corpus,3,asymmetric,0.01,0.4318213170772715
100% Corpus,3,asymmetric,0.31,0.43192786026696534
100% Corpus,3,asymmetric,0.61,0.4235796796036068
100% Corpus,3,asymmetric,0.9099999999999999,0.41392216716505476
100% Corpus,3,asymmetric,symmetric,0.42657632007474783
100% Corpus,4,0.01,0.01,0.4538589237679529
100% Corpus,4,0.01,0.31,0.43691158278942577
100% Corpus,4,0.01,0.61,0.4388098275588511
100% Corpus,4,0.01,0.9099999999999999,0.4400726078769018
100% Corpus,4,0.01,symmetric,0.433024518334194
100% Corpus,4,0.31,0.01,0.4443370495454537
100% Corpus,4,0.31,0.31,0.4353883278991739
100% Corpus,4,0.31,0.61,0.44260850795575235
100% Corpus,4,0.31,0.9099999999999999,0.4437949678500752
100% Corpus,4,0.31,symmetric,0.43442169383694884
100% Corpus,4,0.61,0.01,0.43496907380197314
100% Corpus,4,0.61,0.31,0.43544246573447953
100% Corpus,4,0.61,0.61,0.43409384614333024
100% Corpus,4,0.61,0.9099999999999999,0.4437406701547236
100% Corpus,4,0.61,symmetric,0.4405271033861243
100% Corpus,4,0.9099999999999999,0.01,0.44220907206773896
100% Corpus,4,0.9099999999999999,0.31,0.44813047115661453
100% Corpus,4,0.9099999999999999,0.61,0.447804500999447
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4469261758532681
100% Corpus,4,0.9099999999999999,symmetric,0.44633868678202476
100% Corpus,4,symmetric,0.01,0.4403188499785503
100% Corpus,4,symmetric,0.31,0.44240726492812843
100% Corpus,4,symmetric,0.61,0.44140613190096645
100% Corpus,4,symmetric,0.9099999999999999,0.4330235043717867
100% Corpus,4,symmetric,symmetric,0.4372102215080078
100% Corpus,4,asymmetric,0.01,0.4480483419924417
100% Corpus,4,asymmetric,0.31,0.4314771075984405
100% Corpus,4,asymmetric,0.61,0.3970699087263767
100% Corpus,4,asymmetric,0.9099999999999999,0.43175012606469865
100% Corpus,4,asymmetric,symmetric,0.44419934597142285
100% Corpus,5,0.01,0.01,0.4487538786592976
100% Corpus,5,0.01,0.31,0.43261420350758517
100% Corpus,5,0.01,0.61,0.38972898680149104
100% Corpus,5,0.01,0.9099999999999999,0.4441909733242346
100% Corpus,5,0.01,symmetric,0.4337234602566552
100% Corpus,5,0.31,0.01,0.4313393748037712
100% Corpus,5,0.31,0.31,0.42668896336591
100% Corpus,5,0.31,0.61,0.44536214824077625
100% Corpus,5,0.31,0.9099999999999999,0.4334465441871121
100% Corpus,5,0.31,symmetric,0.42875037984069664
100% Corpus,5,0.61,0.01,0.4286000204515622
100% Corpus,5,0.61,0.31,0.4644828614081469
100% Corpus,5,0.61,0.61,0.44127942837998474
100% Corpus,5,0.61,0.9099999999999999,0.42832603852574536
100% Corpus,5,0.61,symmetric,0.4461843814348686
100% Corpus,5,0.9099999999999999,0.01,0.44035081269968473
100% Corpus,5,0.9099999999999999,0.31,0.4602195029461235
100% Corpus,5,0.9099999999999999,0.61,0.4428687071992082
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.45502080706085535
100% Corpus,5,0.9099999999999999,symmetric,0.4415982733834912
100% Corpus,5,symmetric,0.01,0.4245656698083716
100% Corpus,5,symmetric,0.31,0.43541377274752796
100% Corpus,5,symmetric,0.61,0.46601621290796513
100% Corpus,5,symmetric,0.9099999999999999,0.4862760098970308
100% Corpus,5,symmetric,symmetric,0.4347195701095529
100% Corpus,5,asymmetric,0.01,0.4297864494412402
100% Corpus,5,asymmetric,0.31,0.41686229209533565
100% Corpus,5,asymmetric,0.61,0.42900013686829175
100% Corpus,5,asymmetric,0.9099999999999999,0.47980013031676927
100% Corpus,5,asymmetric,symmetric,0.4312953004661564
100% Corpus,6,0.01,0.01,0.43205589271241424
100% Corpus,6,0.01,0.31,0.4824366760502374
100% Corpus,6,0.01,0.61,0.4708476636314429
100% Corpus,6,0.01,0.9099999999999999,0.4668469141759646
100% Corpus,6,0.01,symmetric,0.470083086702662
100% Corpus,6,0.31,0.01,0.44581581676499643
100% Corpus,6,0.31,0.31,0.4466475361528636
100% Corpus,6,0.31,0.61,0.45783721203935435
100% Corpus,6,0.31,0.9099999999999999,0.49596228443536533
100% Corpus,6,0.31,symmetric,0.4282843491644898
100% Corpus,6,0.61,0.01,0.4281236764356979
100% Corpus,6,0.61,0.31,0.43142305912280415
100% Corpus,6,0.61,0.61,0.466196442885595
100% Corpus,6,0.61,0.9099999999999999,0.49192468313539345
100% Corpus,6,0.61,symmetric,0.45955569531497503
100% Corpus,6,0.9099999999999999,0.01,0.44409981399480386
100% Corpus,6,0.9099999999999999,0.31,0.45348813807239335
100% Corpus,6,0.9099999999999999,0.61,0.45789749212473296
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4807055549689842
100% Corpus,6,0.9099999999999999,symmetric,0.4618965445376613
100% Corpus,6,symmetric,0.01,0.4312540759557754
100% Corpus,6,symmetric,0.31,0.46259487742444855
100% Corpus,6,symmetric,0.61,0.47164705469067353
100% Corpus,6,symmetric,0.9099999999999999,0.494447181342444
100% Corpus,6,symmetric,symmetric,0.46073059068017225
100% Corpus,6,asymmetric,0.01,0.44017335160698146
100% Corpus,6,asymmetric,0.31,0.4609619033546573
100% Corpus,6,asymmetric,0.61,0.47708165877576375
100% Corpus,6,asymmetric,0.9099999999999999,0.5049658803464454
100% Corpus,6,asymmetric,symmetric,0.4695123168494182
100% Corpus,7,0.01,0.01,0.4724319764257031
100% Corpus,7,0.01,0.31,0.4629211406111257
100% Corpus,7,0.01,0.61,0.5412471431636676
100% Corpus,7,0.01,0.9099999999999999,0.49680657945450213
100% Corpus,7,0.01,symmetric,0.479877079568273
100% Corpus,7,0.31,0.01,0.4530920746152841
100% Corpus,7,0.31,0.31,0.4613644895684758
100% Corpus,7,0.31,0.61,0.4655081435215079
100% Corpus,7,0.31,0.9099999999999999,0.4832912455681661
100% Corpus,7,0.31,symmetric,0.4537085853653996
100% Corpus,7,0.61,0.01,0.4653125029809616
100% Corpus,7,0.61,0.31,0.4464467469224159
100% Corpus,7,0.61,0.61,0.4762007092981701
100% Corpus,7,0.61,0.9099999999999999,0.536478624447577
100% Corpus,7,0.61,symmetric,0.45051807801007115
100% Corpus,7,0.9099999999999999,0.01,0.46872400478668413
100% Corpus,7,0.9099999999999999,0.31,0.4585840718749977
100% Corpus,7,0.9099999999999999,0.61,0.4602947290372641
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.49153612025330784
100% Corpus,7,0.9099999999999999,symmetric,0.4491318408485178
100% Corpus,7,symmetric,0.01,0.45910027094071104
100% Corpus,7,symmetric,0.31,0.4590984928483935
100% Corpus,7,symmetric,0.61,0.5260143373192806
100% Corpus,7,symmetric,0.9099999999999999,0.48732383875317087
100% Corpus,7,symmetric,symmetric,0.47418175504058896
100% Corpus,7,asymmetric,0.01,0.47121051606267755
100% Corpus,7,asymmetric,0.31,0.46926353729144893
100% Corpus,7,asymmetric,0.61,0.5395163783987896
100% Corpus,7,asymmetric,0.9099999999999999,0.4682327820359356
100% Corpus,7,asymmetric,symmetric,0.4445099414316315
100% Corpus,8,0.01,0.01,0.43779143692963135
100% Corpus,8,0.01,0.31,0.5163944548827599
100% Corpus,8,0.01,0.61,0.5231151020734215
100% Corpus,8,0.01,0.9099999999999999,0.4747843923650072
100% Corpus,8,0.01,symmetric,0.44745131648088915
100% Corpus,8,0.31,0.01,0.46319011875493704
100% Corpus,8,0.31,0.31,0.4766479127397649
100% Corpus,8,0.31,0.61,0.5173691362645159
100% Corpus,8,0.31,0.9099999999999999,0.4688922354014519
100% Corpus,8,0.31,symmetric,0.47606703039233755
100% Corpus,8,0.61,0.01,0.4638409913512726
100% Corpus,8,0.61,0.31,0.4757796408487748
100% Corpus,8,0.61,0.61,0.4572474699107403
100% Corpus,8,0.61,0.9099999999999999,0.4885968091556151
100% Corpus,8,0.61,symmetric,0.46871285070531665
100% Corpus,8,0.9099999999999999,0.01,0.4657172549058176
100% Corpus,8,0.9099999999999999,0.31,0.46183909482000185
100% Corpus,8,0.9099999999999999,0.61,0.48469089917440095
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4467199260016162
100% Corpus,8,0.9099999999999999,symmetric,0.485633017447525
100% Corpus,8,symmetric,0.01,0.4496519996994929
100% Corpus,8,symmetric,0.31,0.46962065416863535
100% Corpus,8,symmetric,0.61,0.5253038504124499
100% Corpus,8,symmetric,0.9099999999999999,0.5197981673577646
100% Corpus,8,symmetric,symmetric,0.430806208196963
100% Corpus,8,asymmetric,0.01,0.44747533504050974
100% Corpus,8,asymmetric,0.31,0.4819215856579404
100% Corpus,8,asymmetric,0.61,0.4928037713094467
100% Corpus,8,asymmetric,0.9099999999999999,0.4621264947613541
100% Corpus,8,asymmetric,symmetric,0.47799842717721663
100% Corpus,9,0.01,0.01,0.4444969302985498
100% Corpus,9,0.01,0.31,0.5023953622911086
100% Corpus,9,0.01,0.61,0.5734460910884294
100% Corpus,9,0.01,0.9099999999999999,0.5354139980490222
100% Corpus,9,0.01,symmetric,0.4486713779011148
100% Corpus,9,0.31,0.01,0.4700106030192368
100% Corpus,9,0.31,0.31,0.44813401132164976
100% Corpus,9,0.31,0.61,0.49543250008451284
100% Corpus,9,0.31,0.9099999999999999,0.48831783458950934
