,id,url,details_cases,downloaded
15,/utiac/ia-07271-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76908/IA072712021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 2 Nov 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
16,/utiac/ia-02380-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76907/IA023802021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '21 Nov 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
17,/utiac/ia-00131-2020,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76906/IA001312020.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '21 Jul 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
18,/utiac/hu-18467-2019,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76905/HU184672019.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 8 Jun 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
19,/utiac/hu-04308-2019-f0af0312-807f-4c0a-95cc-463cf1558f60,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76904/HU043082019.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '27 Sep 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
20,/utiac/ea-13870-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76903/EA138702021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '22 Sep 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
21,/utiac/ea-13314-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76902/EA133142021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '27 Oct 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
22,/utiac/ea-12732-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76901/EA127322021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 6 Oct 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
23,/utiac/ea-11753-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76900/EA117532021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '24 Oct 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
24,/utiac/ea-08592-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76899/EA085922021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '17 Mar 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
25,/utiac/ea-07588-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76898/EA075882021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 1 Dec 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
26,/utiac/ea010972021-ea010992021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76897/EA010972021___EA010992021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 1 Dec 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
27,/utiac/pa-04296-2020,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76896/PA042962020.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '20 Oct 2022', 'Promulgation date:': '30 Dec 2022', 'Publication date:': '17 Jan 2023', 'Last updated on:': '17 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
28,/utiac/ia-00024-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76895/IA000242021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '31 Aug 2021', 'Promulgation date:': '30 Dec 2022', 'Publication date:': '17 Jan 2023', 'Last updated on:': '17 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
29,/utiac/ia087432021-ors,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76894/IA087432021___Others.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 9 Dec 2022', 'Promulgation date:': '29 Dec 2022', 'Publication date:': '13 Jan 2023', 'Last updated on:': '13 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
30,/utiac/ea-15426-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76893/EA154262021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '25 Nov 2022', 'Promulgation date:': '29 Dec 2022', 'Publication date:': '13 Jan 2023', 'Last updated on:': '13 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
31,/utiac/ea-14791-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76853/EA147912021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 8 Nov 2022', 'Promulgation date:': '23 Dec 2022', 'Publication date:': ' 9 Jan 2023', 'Last updated on:': ' 9 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
32,/utiac/ia-10966-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76852/IA109662021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 8 Nov 2022', 'Promulgation date:': '22 Dec 2022', 'Publication date:': ' 9 Jan 2023', 'Last updated on:': ' 9 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
33,/utiac/ia-08211-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76851/IA082112021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 2 Nov 2022', 'Promulgation date:': '22 Dec 2022', 'Publication date:': ' 9 Jan 2023', 'Last updated on:': ' 9 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
34,/utiac/hu-08539-2020,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76850/HU085392020.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 5 Jul 2022', 'Promulgation date:': '22 Dec 2022', 'Publication date:': ' 9 Jan 2023', 'Last updated on:': ' 9 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
35,/utiac/ea-13038-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76849/EA130382021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '24 Oct 2022', 'Promulgation date:': '22 Dec 2022', 'Publication date:': ' 9 Jan 2023', 'Last updated on:': ' 9 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
36,/utiac/ea-12807-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76848/EA128072021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 4 Nov 2022', 'Promulgation date:': '22 Dec 2022', 'Publication date:': ' 9 Jan 2023', 'Last updated on:': ' 9 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
37,/utiac/ea-11724-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76847/EA117242021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 8 Nov 2022', 'Promulgation date:': '22 Dec 2022', 'Publication date:': ' 9 Jan 2023', 'Last updated on:': ' 9 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
38,/utiac/ea-06120-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76846/EA061202021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 9 Nov 2022', 'Promulgation date:': '22 Dec 2022', 'Publication date:': ' 9 Jan 2023', 'Last updated on:': ' 9 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
39,/utiac/pa-00704-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76925/PA007042021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '12 Jul 2022', 'Promulgation date:': '21 Dec 2022', 'Publication date:': '19 Jan 2023', 'Last updated on:': '19 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
40,/utiac/jr-2021-lon-000127,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76833/JR-2021-LON-000127.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '13 Dec 2022', 'Promulgation date:': '21 Dec 2022', 'Publication date:': ' 3 Jan 2023', 'Last updated on:': ' 3 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
41,/utiac/ia-13882-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76836/IA138822021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '12 Dec 2022', 'Promulgation date:': '20 Dec 2022', 'Publication date:': ' 4 Jan 2023', 'Last updated on:': ' 4 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
42,/utiac/ia-04250-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76835/IA042502021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '12 Dec 2022', 'Promulgation date:': '20 Dec 2022', 'Publication date:': ' 4 Jan 2023', 'Last updated on:': ' 4 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
43,/utiac/ea-00297-2022,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76834/EA002972022.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '12 Dec 2022', 'Promulgation date:': '20 Dec 2022', 'Publication date:': ' 4 Jan 2023', 'Last updated on:': ' 4 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
44,/utiac/hu-07020-2020,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76832/HU070202020.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '10 Nov 2022', 'Promulgation date:': '18 Dec 2022', 'Publication date:': ' 3 Jan 2023', 'Last updated on:': ' 3 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
45,/utiac/hu-01868-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76831/HU018682021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '19 Oct 2022', 'Promulgation date:': '18 Dec 2022', 'Publication date:': ' 3 Jan 2023', 'Last updated on:': ' 3 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
46,/utiac/hu-00940-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76830/HU009402021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 8 Nov 2022', 'Promulgation date:': '18 Dec 2022', 'Publication date:': ' 3 Jan 2023', 'Last updated on:': ' 3 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
47,/utiac/ea-12001-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76829/EA120012021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '28 Oct 2022', 'Promulgation date:': '18 Dec 2022', 'Publication date:': ' 3 Jan 2023', 'Last updated on:': ' 3 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
48,/utiac/ea-05641-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76828/EA056412021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '27 Oct 2022', 'Promulgation date:': '18 Dec 2022', 'Publication date:': ' 3 Jan 2023', 'Last updated on:': ' 3 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
49,/utiac/ea-03936-2020,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76827/EA039362020.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '28 Nov 2022', 'Promulgation date:': '18 Dec 2022', 'Publication date:': ' 3 Jan 2023', 'Last updated on:': ' 3 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
50,/utiac/pa-04254-2020-ors,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76822/PA042542020___Others.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '12 Dec 2022', 'Promulgation date:': '13 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
51,/utiac/jr-2022-lon-000455,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76824/JR-2022-LON-000455.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '25 Nov 2022', 'Promulgation date:': '12 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
52,/utiac/ea-13719-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76821/EA137192021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '26 Oct 2022', 'Promulgation date:': '12 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
53,/utiac/ea-10761-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76820/EA107612021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 8 Nov 2022', 'Promulgation date:': '12 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
54,/utiac/ea-08583-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76819/EA085832021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '23 Mar 2022', 'Promulgation date:': '12 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
